movie_title,available_globally,viewing_hours,release_month,runtime,runtime_category,genre,language,country,imdb_rating,type,total_seasons,gn_drama,gn_action,gn_fantasy,gn_mystery,gn_talk-show,gn_unknown,gn_news,gn_war,gn_film-noir,gn_horror,gn_crime,gn_thriller,gn_romance,gn_musical,gn_reality-tv,gn_biography,gn_comedy,gn_short,gn_sci-fi,gn_western,gn_history,gn_adventure,gn_documentary,gn_music,gn_family,gn_adult,gn_game-show,gn_animation,gn_sport,lg_english,lg_other,lg_spanish,lg_japanese,lg_french,ct_united_states,ct_other,ct_united_kingdom,ct_japan,ct_france,type_encoded
Emily in Paris,1,161100000,10,30,Short,"Comedy, Drama, Romance","English, French",United States,6.9,series,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
Alice in Borderland ,1,157600000,12,50,Medium,"Action, Drama, Mystery",Japanese,Japan,7.7,series,2.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Alchemy of Souls: Part 1 ,1,155300000,7,93,Feature Long,Unknown,Other,Other,6.990896644217504,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Outer Banks,1,153900000,4,50,Medium,"Action, Crime, Drama",English,United States,7.5,series,4.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
New Amsterdam (2018),0,153000000,7,93,Feature Long,Unknown,Other,Other,7.053551358889164,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Til Money Do Us Part ,0,152100000,7,93,Feature Long,Unknown,Other,Other,7.050029563696262,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Mr. Queen ,0,151500000,2,70,Medium Long,"Comedy, Fantasy, Romance",Korean,South Korea,8.6,series,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Manifest,0,151400000,9,43,Medium,"Drama, Mystery, Sci-Fi",English,United States,7.1,series,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Alchemy of Souls: Part 2 ,1,150200000,7,93,Feature Long,Unknown,Other,Other,6.97093980479106,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PAW Patrol,0,149300000,11,23,Short,"Animation, Adventure, Comedy",English,"United States, Canada",6.1,series,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
The Good Bad Mother: Limited Series ,1,148600000,7,93,Feature Long,Unknown,Other,Other,6.964678835559234,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Recruit,1,146900000,1,115,Feature Long,"Action, Thriller","English, Persian, Russian","United States, Switzerland",6.6,movie,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
Bloodhounds ,1,146700000,6,30,Short,"Action, Crime, Drama",Korean,South Korea,8.1,series,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Glass Onion: A Knives Out Mystery,1,142900000,11,102,Feature Long,Unknown,Other,Other,6.924265325267022,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Wrong Side of the Tracks ,0,140100000,5,30,Short,Drama,Spanish,Spain,6.9,series,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Black Mirror,1,139900000,12,60,Medium,"Drama, Mystery, Sci-Fi",English,United Kingdom,8.7,series,6.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Triptych ,1,139300000,2,30,Short,"Drama, Mystery, Thriller",Spanish,Mexico,6.3,series,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
The Walking Dead,0,136800000,10,44,Medium,"Drama, Horror, Thriller",English,United States,8.1,series,11.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Bridgerton,1,136600000,12,60,Medium,"Drama, Romance",English,United States,7.4,series,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
CoComelon,0,136200000,6,30,Short,"Animation, Family",English,"United States, United Kingdom",4.1,series,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
Extraordinary Attorney Woo ,1,135900000,6,1,Short,Drama,Korean,South Korea,8.6,series,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
The Snow Girl ,1,134800000,1,30,Short,"Crime, Drama, Mystery",Spanish,Spain,6.8,series,1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Stranger Things 4,1,133600000,7,102,Feature Long,Comedy,Other,Other,6.683445248529023,movie,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Marked Heart ,1,133500000,4,1,Short,"Drama, Thriller",Spanish,"Colombia, Argentina, Mexico",6.5,series,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Bridgerton,1,133400000,12,60,Medium,"Drama, Romance",English,United States,7.4,series,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Little Angel,1,132100000,10,88,Medium Long,"Drama, Romance",German,Germany,6.6,movie,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PAW Patrol,0,130700000,11,23,Short,"Animation, Adventure, Comedy",English,"United States, Canada",6.1,series,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
Pasión de Gavilanes,0,129200000,10,60,Medium,"Drama, Romance",Spanish,"Colombia, United States",7.8,series,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
Suits (2011),1,129100000,7,93,Feature Long,Unknown,Other,Other,6.888373273046361,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sex/Life,1,126400000,6,30,Short,"Comedy, Drama, Romance",English,United States,5.6,series,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
We Have a Ghost,1,124400000,2,126,Long,"Adventure, Comedy, Drama",English,United States,6.1,movie,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
You,1,123500000,9,45,Medium,"Crime, Drama, Romance",English,United States,7.7,series,5.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Business Proposal ,1,120700000,3,30,Short,"Comedy, Drama, Romance",Korean,South Korea,8.1,series,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
The Pale Blue Eye,1,120500000,1,128,Long,"Crime, Horror, Mystery","English, French, Latin",United States,6.6,movie,1.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Crash Landing on You ,1,120300000,12,70,Medium Long,"Adventure, Comedy, Romance",Korean,South Korea,8.7,series,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
AKA,1,120000000,4,122,Long,"Action, Crime, Thriller","Arabic, French",France,6.6,movie,1.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
