,Title,Available Globally?,Release_Date,Hours Viewed,Genre,Director,Cast,Runtime,User Rating
0,The Night Agent,Yes,2023-03-23,"812,100,000",,,,,
1,Ginny & Georgia,Yes,2023-01-05,"665,100,000",,,,,
2,The Glory,Yes,2022-12-30,"622,800,000",,,,,
